Symbol,Date,Open,High,Low,Adj Close,Volume
AAPL,01/09/2017,164.800003,164.940002,163.630005,164.050003,16552800
AAPL,31/08/2017,163.639999,164.520004,163.479996,164.0,26785100
AAPL,30/08/2017,163.800003,163.889999,162.610001,163.350006,27269600
AAPL,29/08/2017,160.100006,163.119995,160.0,162.91000400000001,29516900
AAPL,28/08/2017,160.139999,162.0,159.929993,161.470001,25966000
AAPL,25/08/2017,159.649994,160.559998,159.270004,159.860001,25480100
AAPL,24/08/2017,160.429993,160.740005,158.550003,159.270004,19818900
AAPL,23/08/2017,159.070007,160.470001,158.880005,159.979996,19399100
AAPL,22/08/2017,158.229996,160.0,158.020004,159.779999,21604600
AAPL,21/08/2017,157.5,157.889999,155.110001,157.21000700000002,26368500
AAPL,18/08/2017,157.860001,159.5,156.720001,157.5,27428100
AAPL,17/08/2017,160.520004,160.71000700000002,157.83999599999999,157.860001,27940600
AAPL,16/08/2017,161.940002,162.509995,160.149994,160.949997,27671600
AAPL,15/08/2017,160.66000400000001,162.199997,160.139999,161.600006,29465500
AAPL,14/08/2017,159.320007,160.21000700000002,158.75,159.850006,22028200
AAPL,11/08/2017,156.600006,158.570007,156.070007,157.479996,26257100
AAPL,10/08/2017,159.899994,160.0,154.630005,155.320007,40804300
AAPL,09/08/2017,159.259995,161.270004,159.110001,160.429993,26131500
AAPL,08/08/2017,158.600006,161.830002,158.270004,159.453827,36205900
AAPL,07/08/2017,157.059998,158.919998,156.669998,158.188797,21870300
AAPL,04/08/2017,156.070007,157.399994,155.690002,155.77825900000002,20559900
AAPL,03/08/2017,157.050003,157.21000700000002,155.020004,154.961472,27097300
AAPL,02/08/2017,159.279999,159.75,156.16000400000001,156.52533,69936800
AAPL,01/08/2017,149.100006,150.220001,148.41000400000001,149.46305800000002,35368600
AAPL,31/07/2017,149.899994,150.330002,148.130005,148.148224,19845900
AAPL,28/07/2017,149.889999,150.229996,149.190002,148.915207,17213700
AAPL,27/07/2017,153.75,153.990005,147.300003,149.971069,32476300
AAPL,26/07/2017,153.350006,153.929993,153.059998,152.859726,15781000
AAPL,25/07/2017,151.800003,153.83999599999999,151.800003,152.142548,18853900
AAPL,24/07/2017,150.580002,152.440002,149.899994,151.495071,21493200
AAPL,21/07/2017,149.990005,150.440002,148.880005,149.682205,26252600
AAPL,20/07/2017,151.5,151.740005,150.190002,149.751923,17243700
AAPL,19/07/2017,150.479996,151.419998,149.949997,150.429276,20923000
AAPL,18/07/2017,149.199997,150.130005,148.669998,149.49295,17868800
AAPL,17/07/2017,148.820007,150.899994,148.570007,148.974976,23793500
AAPL,14/07/2017,147.970001,149.330002,147.330002,148.457001,20132100
AAPL,13/07/2017,145.5,148.490005,145.440002,147.191986,25199400
AAPL,12/07/2017,145.869995,146.179993,144.820007,145.16992199999999,24884500
AAPL,11/07/2017,144.729996,145.850006,144.380005,144.960739,19781800
AAPL,10/07/2017,144.110001,145.949997,143.369995,144.49258400000002,21090600
AAPL,07/07/2017,142.899994,144.75,142.899994,143.61601299999998,19201700
AAPL,06/07/2017,143.020004,143.5,142.41000400000001,142.17169199999998,24128800
AAPL,05/07/2017,143.690002,144.78999299999998,142.720001,143.526367,21569600
AAPL,03/07/2017,144.880005,145.300003,143.100006,142.93868999999998,14258300
AAPL,30/06/2017,144.449997,144.96000700000002,143.779999,143.45665,23024100
AAPL,29/06/2017,144.71000700000002,145.130005,142.279999,143.117966,31499400
AAPL,28/06/2017,144.490005,146.110001,143.16000400000001,145.259567,22082400
AAPL,27/06/2017,145.009995,146.16000400000001,143.619995,143.167786,24761900
AAPL,26/06/2017,147.169998,148.279999,145.380005,145.249619,25692400
AAPL,23/06/2017,145.130005,147.16000400000001,145.110001,145.707809,35439400
AAPL,22/06/2017,145.770004,146.699997,145.119995,145.060364,19106300
AAPL,21/06/2017,145.520004,146.070007,144.610001,145.299408,21265800
AAPL,20/06/2017,146.869995,146.869995,144.940002,144.44276399999998,24900100
AAPL,19/06/2017,143.66000400000001,146.740005,143.66000400000001,145.76757800000001,32541400
AAPL,16/06/2017,143.779999,144.5,142.199997,141.713501,50361100
AAPL,15/06/2017,143.320007,144.479996,142.21000700000002,143.72558600000002,32165400
AAPL,14/06/2017,147.5,147.5,143.83999599999999,144.592194,31531200
