Date,Open,High,Low,Close,Volume
2015-01-02,529.01,531.27,524.1,524.81,1446662
2015-01-05,523.26,524.33,513.06,513.87,2054238
2015-01-06,515.0,516.18,501.05,501.96,2891950
2015-01-07,507.0,507.24,499.65,501.1,2059366
2015-01-08,497.99,503.48,491.0,502.68,3344395
2015-01-09,504.76,504.92,494.79,496.17,2065715
2015-01-12,494.94,495.98,487.56,492.55,2320446
2015-01-13,498.84,502.98,492.39,496.18,2365687
2015-01-14,494.65,503.23,493.0,500.87,2229638
2015-01-15,505.57,505.68,497.76,501.79,2711355
2015-01-16,500.01,508.19,500.0,508.08,2292043
2015-01-20,511.0,512.5,506.02,506.9,2225922
2015-01-21,507.25,519.28,506.2,518.04,2262455
2015-01-22,521.48,536.33,519.7,534.39,2669558
2015-01-23,535.59,542.17,533.0,539.95,2275485
2015-01-26,538.53,539.0,529.67,535.21,1539524
2015-01-27,529.97,530.7,518.19,518.63,1898844
2015-01-28,522.78,522.99,510.0,510.0,1679230
2015-01-29,511.0,511.09,501.2,510.66,4174924
2015-01-30,515.86,539.87,515.52,534.52,5590977
2015-02-02,531.73,533.0,518.55,528.48,2841976
2015-02-03,528.0,533.4,523.26,529.24,2033085
2015-02-04,529.24,532.67,521.27,522.76,1659125
2015-02-05,523.79,528.5,522.09,527.58,1844687
2015-02-06,527.64,537.2,526.41,531.0,1758650
2015-02-09,528.0,532.0,526.02,527.83,1264276
2015-02-10,529.3,537.7,526.92,536.94,1745076
2015-02-11,535.3,538.45,533.38,535.97,1373970
2015-02-12,537.25,544.82,534.67,542.93,1615824
2015-02-13,543.35,549.91,543.13,549.01,1895126
2015-02-17,546.83,550.0,541.09,542.84,1612439
2015-02-18,541.4,545.49,537.51,539.7,1449089
2015-02-19,538.04,543.11,538.01,542.87,987478
2015-02-20,543.13,543.75,535.8,538.95,1441212
2015-02-23,536.05,536.44,529.41,531.91,1453907
2015-02-24,530.0,536.79,528.25,536.09,1002393
2015-02-25,535.9,546.22,535.44,543.87,1821041
2015-02-26,543.21,556.14,541.5,555.48,2305219
2015-02-27,554.24,564.71,552.9,558.4,2403553
2015-03-02,560.53,572.15,558.75,571.34,2123796
2015-03-03,570.45,575.39,566.52,573.64,1700084
2015-03-04,571.87,577.11,568.01,573.37,1871694
2015-03-05,575.02,577.91,573.41,575.33,1385818
2015-03-06,574.88,576.68,566.76,567.68,1654561
2015-03-09,566.86,570.27,563.54,568.85,1059336
2015-03-10,564.25,564.85,554.73,555.01,1787357
2015-03-11,555.14,558.14,550.68,551.18,1815763
2015-03-12,553.51,556.37,550.46,555.51,1385772
2015-03-13,553.5,558.4,544.22,547.32,1698872
2015-03-16,550.95,556.85,546.0,554.51,1636493
2015-03-17,551.71,553.8,548.0,550.84,1800570
2015-03-18,552.5,559.78,547.0,559.5,2128714
2015-03-19,559.39,560.8,556.14,557.99,1194049
2015-03-20,561.65,561.72,559.05,560.36,2609690
2015-03-23,560.43,562.36,555.83,558.81,1639306
2015-03-24,562.56,574.59,561.21,570.19,2576234
2015-03-25,570.5,572.26,558.74,558.78,2146384
2015-03-26,557.59,558.9,550.65,555.17,1568331
2015-03-27,553.0,555.28,548.13,548.34,1892323
2015-03-30,551.62,553.47,548.17,552.03,1283958
2015-03-31,550.0,554.71,546.72,548.0,1583677
2015-04-01,548.6,551.14,539.5,542.56,1957718
2015-04-02,540.85,540.85,533.85,535.53,1711737
2015-04-06,532.22,538.41,529.57,536.76,1320767
2015-04-07,538.08,542.69,536.0,537.02,1299298
2015-04-08,538.38,543.85,538.38,541.61,1175332
2015-04-09,541.03,541.95,535.49,540.78,1553586
2015-04-10,542.29,542.29,537.31,540.01,1405574
2015-04-13,538.41,544.06,537.31,539.17,1640809
2015-04-14,536.25,537.57,528.09,530.39,2597043
2015-04-15,528.7,534.73,523.22,532.53,2312512
2015-04-16,529.9,535.59,529.61,533.8,1296304
2015-04-17,528.66,529.84,521.01,524.05,2145955
2015-04-20,525.6,536.09,524.5,535.38,1675487
2015-04-21,537.51,539.39,533.68,533.97,1839668
2015-04-22,534.4,541.08,531.75,539.36,1589248
2015-04-23,541.0,550.96,540.23,547.0,4173376
2015-04-24,566.1,571.14,557.25,565.06,4919031
2015-04-27,563.39,565.95,553.2,555.37,2398039
2015-04-28,554.64,556.02,550.37,553.68,1490983
2015-04-29,550.47,553.68,546.9,549.08,1698761
2015-04-30,547.87,548.59,535.05,537.34,2082214
2015-05-01,538.43,539.54,532.1,537.9,1768181
2015-05-04,538.53,544.07,535.06,540.78,1307960
2015-05-05,538.21,539.74,530.39,530.8,1383068
2015-05-06,531.24,532.38,521.08,524.22,1566987
2015-05-07,523.99,533.46,521.75,530.7,1546278
2015-05-08,536.65,541.15,536.0,538.22,1527615
2015-05-11,538.37,541.98,535.4,535.7,905285
