GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
V;30 t/m 34 jaar;LEEUWARDEN;3489;3464.99;3958453.86;559179.03;1474231.72;203553.56;140305.70;191803.17;156655.86;18229.19;22253.76;20595.28;23633.64;62561.90;824059.32;570915.82;117886.31;20842.04;4061.70;0.00;36261.48
V;30 t/m 34 jaar;LEEUWARDERADEEL;235;233.86;394348.46;38616.52;102440.82;13382.76;9668.68;12263.12;23832.50;2675.10;1091.00;1868.67;6773.12;14393.92;79163.48;46517.90;7436.09;0.00;295.20;0.00;238.03
V;30 t/m 34 jaar;LEIDEN;4170;4078.92;4316718.18;551934.26;1554616.71;229695.56;163346.03;212983.18;174559.08;6160.87;32989.14;15109.99;19727.24;48136.90;822711.82;584618.55;115083.63;17831.44;78.30;0.00;42154.84
V;30 t/m 34 jaar;LEIDERDORP;655;649.53;760752.98;85528.29;94165.01;37320.52;24058.57;32806.23;20880.51;297.99;4963.79;1384.33;0.00;7496.16;209428.87;128150.29;17965.76;4138.48;18.00;0.00;14223.11
V;30 t/m 34 jaar;LEIDSCHENDAM-VOORBURG;2237;2206.22;2757628.82;307351.37;543200.68;126382.44;86001.53;79964.47;63091.99;3182.22;14591.12;9570.60;3110.28;27634.81;580551.60;414272.56;36863.35;16820.48;48.15;0.00;8462.62
V;30 t/m 34 jaar;LELYSTAD;2439;2416.87;2800771.19;406311.99;928416.31;138613.77;121578.55;144946.30;93317.42;24635.97;11574.94;10963.44;12165.83;48953.53;490472.71;344294.51;66537.50;11918.09;105.30;0.00;23154.37
V;30 t/m 34 jaar;LEUDAL;755;748.63;993754.00;101142.77;88601.33;43284.60;30145.07;31069.09;27765.08;5987.83;2263.41;4446.68;6937.83;6668.37;211549.64;136849.70;14144.34;6384.00;12.60;0.00;2103.76
V;30 t/m 34 jaar;LEUSDEN;698;693.56;894390.93;65730.11;178599.78;39940.76;25963.25;38203.24;37059.80;4937.38;4334.42;1434.53;0.00;14446.79;211493.03;144836.02;24340.72;2460.55;19.35;0.00;1578.42
V;30 t/m 34 jaar;LINGEWAAL;266;263.57;227317.83;18985.30;18308.68;15209.01;9406.77;8541.41;3557.14;5170.89;765.90;191.26;0.00;2097.26;60105.56;38969.58;6323.65;0.00;3.60;0.00;65.78
V;30 t/m 34 jaar;LINGEWAARD;1140;1132.49;1384630.58;109150.99;310738.61;65655.77;51830.75;60828.64;32921.56;5453.13;7505.48;7707.78;3470.75;14610.97;352948.45;227448.66;39369.49;7957.86;7.20;0.00;1868.25
